latlong unique,lat,lon,SN_total_0_30,SP_total_0_30,SOC_total_0_30,CEC_total_0_30,AP_total_0_30,NPP,MAT,PPT,AET,,,
-43.095146.65,-43.095,146.65,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.5428467,,,
-42.9167146.4333,-42.9167,146.433,0.282,0.036,6.34,18.421,19.259,10460.947,7.701,1771.848,739.4143066,,,
-41.3333147.75,-41.3333,147.75,0.4,0.102,7.232,34.218,22.162,14655.632,9.883,1057.957,664.6047363,,,
-41.15144.9833,-41.15,144.983,0.257,0.038,6.415,28.533,16.409,12431.526,11.89,1339.267,779.9238281,,,orange: from fiona email 06/05/2024! Manually filled in values with katie
-39.0167146.3333,-39.0167,146.333,0.206,0.016,2.805,13.498,23.094,13741.211,13.872,1006.81,736.5856934,,,
-37.983145.8,-37.983,145.8,0.186,0.033,3.455,10.616,12.944,10316.263,13.688,1055.976,898.2238159,,,
-37.9145.1,-37.9,145.1,0.165,0.033,1.805,15.07,15.437,10316.263,15.545,708.49,672.5999756,,,
-36.874147.254,-36.874,147.254,0.283,0.066,5.214,6.024,27.022,10020.684,7.301,1377.352,761.6333618,,,
-36.2143.75,-36.2,143.75,0.096,0.03,1.026,24.651,16.573,4478.895,16.162,349.505,332.0476074,,,
-35.608138.261,-35.608,138.261,0.114,0.012,2.119,6.839,12.932,8294.579,14.913,770.181,576.5856934,,,
-35.4441148.9285,-35.4441,148.929,0.103,0.024,1.694,4.738,8.971,10419.737,12.885,819.514,684.2523804,,,
-35.4333138.7667,-35.4333,138.767,0.081,0.016,0.794,9.852,12.096,8294.579,16.456,468.105,438.9190369,,,
-35.4292138.7628,-35.4292,138.763,0.077,0.013,1.215,8.23,10.602,8294.579,16.456,468.105,438.9190369,,,
-35.34142.83,-35.34,142.83,0.062,0.031,0.907,16.892,22.834,3456.053,17.224,283.795,269.6714172,,,"ETA column not included, chose to omit it. "
-35.283149.1167,-35.283,149.117,0.084,0.024,1.586,6.451,11.614,10419.737,13.826,620.243,570.7000122,,,
