Unique_ID,dataset_id,family,genus,woodiness,reclass_life_history,putative_BNF,myc_type,species_binom,lat_deg,long_deg,leaf_N_per_dry_mass,leaf_P_per_dry_mass,leaf_C_per_dry_mass,NP_ratio,CN_ratio,CP_ratio,SN_total_0_30,SP_total_0_30,SOC_total_0_30,CEC_total_0_30,AP_total_0_30,NPP,MAT,PPT,AET,precipitation_seasonality,temp_seasonality
1197,Bloomfield_2018,Escalloniaceae,Anopterus,1,long,0,AM,Anopterus_glandulosus,-43.095,146.65,6.61,0.299,NA,22.10702341,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
1198,Bloomfield_2018,Escalloniaceae,Anopterus,1,long,0,AM,Anopterus_glandulosus,-43.095,146.65,8.584,0.517,NA,16.60348162,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
1199,Bloomfield_2018,Escalloniaceae,Anopterus,1,long,0,AM,Anopterus_glandulosus,-43.095,146.65,7.91,0.242,NA,32.68595041,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
1200,Bloomfield_2018,Escalloniaceae,Anopterus,1,long,0,AM,Anopterus_glandulosus,-43.095,146.65,9.031,0.212,NA,42.5990566,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
3468,Bloomfield_2018,Myrtaceae,Melaleuca,1,long,0,EcM-AM,Melaleuca_squarrosa,-43.095,146.65,40.232,1.392,NA,28.90229885,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
3469,Bloomfield_2018,Myrtaceae,Melaleuca,1,long,0,EcM-AM,Melaleuca_squarrosa,-43.095,146.65,21.304,0.918,NA,23.20697168,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
3470,Bloomfield_2018,Myrtaceae,Melaleuca,1,long,0,EcM-AM,Melaleuca_squarrosa,-43.095,146.65,13.297,0.579,NA,22.96545769,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
3471,Bloomfield_2018,Myrtaceae,Melaleuca,1,long,0,EcM-AM,Melaleuca_squarrosa,-43.095,146.65,12.131,0.402,NA,30.17661692,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
1306,Bloomfield_2018,Fabaceae,Acacia,1,long,1,EcM-AM,Acacia_dealbata,-43.095,146.65,25.614,0.905,NA,28.30276243,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
1307,Bloomfield_2018,Fabaceae,Acacia,1,long,1,EcM-AM,Acacia_dealbata,-43.095,146.65,9.177,0.116,NA,79.11206897,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
1308,Bloomfield_2018,Fabaceae,Acacia,1,long,1,EcM-AM,Acacia_dealbata,-43.095,146.65,12.764,0.294,NA,43.41496599,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
1309,Bloomfield_2018,Fabaceae,Acacia,1,long,1,EcM-AM,Acacia_dealbata,-43.095,146.65,41.3,2.685,NA,15.38175047,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
1301,Bloomfield_2018,Fabaceae,Acacia,1,long,1,EcM-AM,Acacia_melanoxylon,-43.095,146.65,28.496,0.757,NA,37.64332893,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
1302,Bloomfield_2018,Fabaceae,Acacia,1,long,1,EcM-AM,Acacia_melanoxylon,-43.095,146.65,23.92,0.586,NA,40.81911263,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
1303,Bloomfield_2018,Fabaceae,Acacia,1,long,1,EcM-AM,Acacia_melanoxylon,-43.095,146.65,25.104,0.734,NA,34.20163488,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
1304,Bloomfield_2018,Fabaceae,Acacia,1,long,1,EcM-AM,Acacia_melanoxylon,-43.095,146.65,29.087,0.825,NA,35.2569697,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
1305,Bloomfield_2018,Fabaceae,Acacia,1,long,1,EcM-AM,Acacia_melanoxylon,-43.095,146.65,19.838,0.496,NA,39.99596774,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
463,Bloomfield_2018,Atherospermataceae,Atherosperma,1,long,0,AM,Atherosperma_moschatum,-43.095,146.65,16.491,0.34,NA,48.50294118,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
464,Bloomfield_2018,Atherospermataceae,Atherosperma,1,long,0,AM,Atherosperma_moschatum,-43.095,146.65,20.178,0.486,NA,41.51851852,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
465,Bloomfield_2018,Atherospermataceae,Atherosperma,1,long,0,AM,Atherosperma_moschatum,-43.095,146.65,18.455,0.766,NA,24.0926893,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
466,Bloomfield_2018,Atherospermataceae,Atherosperma,1,long,0,AM,Atherosperma_moschatum,-43.095,146.65,18.816,1.117,NA,16.84512086,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
3460,Bloomfield_2018,Myrtaceae,Eucalyptus,1,long,0,EcM-AM,Eucalyptus_obliqua,-43.095,146.65,12.582,0.549,NA,22.91803279,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
3461,Bloomfield_2018,Myrtaceae,Eucalyptus,1,long,0,EcM-AM,Eucalyptus_obliqua,-43.095,146.65,15.109,0.615,NA,24.56747967,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
3462,Bloomfield_2018,Myrtaceae,Eucalyptus,1,long,0,EcM-AM,Eucalyptus_obliqua,-43.095,146.65,18.024,0.816,NA,22.08823529,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
3463,Bloomfield_2018,Myrtaceae,Eucalyptus,1,long,0,EcM-AM,Eucalyptus_obliqua,-43.095,146.65,13.262,0.515,NA,25.75145631,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
3464,Bloomfield_2018,Myrtaceae,Eucalyptus,1,long,0,EcM-AM,Eucalyptus_obliqua,-43.095,146.65,12.813,0.614,NA,20.86807818,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
807,Bloomfield_2018,Cunoniaceae,Eucryphia,1,long,0,AM,Eucryphia_lucida,-43.095,146.65,10.109,0.213,NA,47.4600939,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
808,Bloomfield_2018,Cunoniaceae,Eucryphia,1,long,0,AM,Eucryphia_lucida,-43.095,146.65,9.085,0.193,NA,47.07253886,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
809,Bloomfield_2018,Cunoniaceae,Eucryphia,1,long,0,AM,Eucryphia_lucida,-43.095,146.65,9.837,0.513,NA,19.1754386,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
810,Bloomfield_2018,Cunoniaceae,Eucryphia,1,long,0,AM,Eucryphia_lucida,-43.095,146.65,8.371,0.183,NA,45.7431694,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
3465,Bloomfield_2018,Myrtaceae,Leptospermum,1,long,0,EcM-AM,Leptospermum_lanigerum,-43.095,146.65,6.207,0.095,NA,65.33684211,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
3466,Bloomfield_2018,Myrtaceae,Leptospermum,1,long,0,EcM-AM,Leptospermum_lanigerum,-43.095,146.65,12.931,0.509,NA,25.40471513,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
3467,Bloomfield_2018,Myrtaceae,Leptospermum,1,long,0,EcM-AM,Leptospermum_lanigerum,-43.095,146.65,10.605,0.107,NA,99.11214953,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
6121,Bloomfield_2018,Oleaceae,Notelaea,1,long,0,AM,Notelaea_ligustrina,-43.095,146.65,8.924,0.308,NA,28.97402597,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
6122,Bloomfield_2018,Oleaceae,Notelaea,1,long,0,AM,Notelaea_ligustrina,-43.095,146.65,9.971,0.089,NA,112.0337079,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
6123,Bloomfield_2018,Oleaceae,Notelaea,1,long,0,AM,Notelaea_ligustrina,-43.095,146.65,9.803,0.14,NA,70.02142857,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
6124,Bloomfield_2018,Oleaceae,Notelaea,1,long,0,AM,Notelaea_ligustrina,-43.095,146.65,18.987,0.523,NA,36.3040153,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
6087,Bloomfield_2018,Nothofagaceae,Nothofagus,1,long,0,EcM,Nothofagus_cunninghamii,-43.095,146.65,6.283,0.13,NA,48.33076923,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
6088,Bloomfield_2018,Nothofagaceae,Nothofagus,1,long,0,EcM,Nothofagus_cunninghamii,-43.095,146.65,13.7,0.325,NA,42.15384615,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
6089,Bloomfield_2018,Nothofagaceae,Nothofagus,1,long,0,EcM,Nothofagus_cunninghamii,-43.095,146.65,13.265,0.22,NA,60.29545455,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
6090,Bloomfield_2018,Nothofagaceae,Nothofagus,1,long,0,EcM,Nothofagus_cunninghamii,-43.095,146.65,20.391,1.262,NA,16.15768621,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
6482,Bloomfield_2018,Podocarpaceae,Phyllocladus,1,long,0,AM,Phyllocladus_aspleniifolius,-43.095,146.65,10.726,0.567,NA,18.91710758,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
6483,Bloomfield_2018,Podocarpaceae,Phyllocladus,1,long,0,AM,Phyllocladus_aspleniifolius,-43.095,146.65,13.107,0.598,NA,21.9180602,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
6484,Bloomfield_2018,Podocarpaceae,Phyllocladus,1,long,0,AM,Phyllocladus_aspleniifolius,-43.095,146.65,9.837,0.513,NA,19.1754386,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
