Unique_ID,dataset_id,lat_deg,long_deg,family,genus,species_binom,woodiness,reclass_life_history,putative_BNF,myc_type,leaf_N_per_dry_mass,leaf_P_per_dry_mass,leaf_C_per_dry_mass,NP_ratio,CN_ratio,CP_ratio,LATLONG,latlong_unique,SN_total_0_30,SP_total_0_30,SOC_total_0_30,CEC_total_0_30,AP_total_0_30,ETa,NPP,MAT_C,PPT_mm,PrecipSeasonality_WorldClim30s1,TempSeasonality_WorldClim30s1
22,Smith_1996,-41.3333333,147.75,Amaranthaceae,Amaranthus,Amaranthus viridis,herbaceous,short,0,NM-AM,4.432,2.095,NA,2.115513126,NA,NA,-41.3333333147.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Smith_1996,-42.9166667,146.4333333,Amaranthaceae,Amaranthus,Amaranthus viridis,herbaceous,short,0,NM-AM,4.432,2.095,NA,2.115513126,NA,NA,-42.9166667146.4333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6334,Firn_2019,-36.2,143.75,Poaceae,Avena,Avena barbata,herbaceous,short,0,AM,35.20821303,1.53770171,472.6279849,22.89664686,13.42379929,307.3599918,-36.2143.75,-36.2143.75,0.096,0.03,1.026,24.651,16.573,1.062,4478.895,16.162,349.505,21.82745552,513.2398682
6339,Firn_2019,-36.2,143.75,Poaceae,Avena,Avena barbata,herbaceous,short,0,AM,31.80220603,2.11923929,466.6892258,15.00642527,14.6747438,220.2154462,-36.2143.75,-36.2143.75,0.096,0.03,1.026,24.651,16.573,1.062,4478.895,16.162,349.505,21.82745552,513.2398682
435,Firn_2019,-31.7821,117.6108,Asteraceae,Waitzia,Waitzia acuminata,herbaceous,short,0,EcM-AM,42.73435282,0.84372621,442.3917587,50.64954995,10.35213428,524.3309423,-31.7821117.6108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.66807938,538.7884521
431,Firn_2019,-31.7821,117.6108,Asteraceae,Waitzia,Waitzia acuminata,herbaceous,short,0,EcM-AM,38.86622727,1.08735097,431.42437,35.74395788,11.10023793,396.7664369,-31.7821117.6108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.66807938,538.7884521
438,Firn_2019,-31.7821,117.6108,Asteraceae,Waitzia,Waitzia acuminata,herbaceous,short,0,EcM-AM,28.04169773,0.68201926,480.159877,41.11569772,17.12306728,704.0268584,-31.7821117.6108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.66807938,538.7884521
562,Schmidt_2003,-12.65,132.9166667,Boraginaceae,Coldenia,Coldenia procumbens,herbaceous,short,0,NM-AM,49,NA,407.45,NA,8.315306122,NA,-12.65132.9166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,Schmidt_2003,-12.65,132.9166667,Fabaceae,Tephrosia,Tephrosia remotiflora,herbaceous,short,1,AM,25,NA,467.4,NA,18.696,NA,-12.65132.9166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Schmidt_2003,-12.65,132.9166667,Aizoaceae,Trianthema,Trianthema portulacastrum,herbaceous,short,0,NM-AM,26,NA,405.3,NA,15.58846154,NA,-12.65132.9166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
967,Schmidt_2003,-12.65,132.9166667,Cyperaceae,Cyperus,Cyperus aquatilis,herbaceous,short,0,NM-AM,25,NA,439.1,NA,17.564,NA,-12.65132.9166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6336,Firn_2019,-36.2,143.75,Poaceae,Avena,Avena barbata,herbaceous,short,0,AM,23.43788046,5.41037995,424.5052107,4.332021166,18.11192831,78.46125681,-36.2143.75,-36.2143.75,0.096,0.03,1.026,24.651,16.573,1.062,4478.895,16.162,349.505,21.82745552,513.2398682
6347,Firn_2019,-31.7821,117.6108,Poaceae,Vulpia,Vulpia myuros,herbaceous,short,0,AM,12.16239179,NA,447.306134,NA,36.77780997,NA,-31.7821117.6108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.66807938,538.7884521
